KabKota_bpjs;KabKota_jml;Provinsi;Rokok;Gula;Minuman;Mie;Minyak;Buah;Sayur;IPM;IPM_level;Kepadatan_level;Penc_Air_level;Penc_Udara_level;Sanitasi_level;Rokok_level;Sayur_level;Gula_level;persen_DM;persen_TB;DM_level;TB_level
Kota Bitung;Kota Bitung;SULAWESI UTARA;14.598;1.706;2.496;0.77;0.356;0.546;1.977;74.2;1;1;1;0;0;0;1;1;0.0989374209720713;0.0674371658643714;4;3
Kota Tomohon;Kota Tomohon;SULAWESI UTARA;15.667;1.321;2.067;0.602;0.3;0.685;2.054;76.86;1;1;1;0;0;0;1;0;0.152638026952662;0.10041975457412;4;4
Kota Kotamobagu;Kota Kotamobagu;SULAWESI UTARA;20.925;1.131;1.578;0.643;0.307;0.61;1.52;73.47;1;1;1;0;0;1;0;0;0.115271903691136;0.111213033842857;4;4
Banggai Kepulauan;Banggai Kepulauan;SULAWESI TENGAH;15.349;2.001;1.221;0.716;0.38;1.1;0.992;65.61;0;0;0;0;0;0;0;0;0.0594913085643036;0.102683628480853;3;4
Banggai;Banggai;SULAWESI TENGAH;17.87;1.633;2.374;0.598;0.388;0.782;2.091;70.6;1;0;0;0;0;1;1;1;0.0541878493959008;0.0476526313783047;3;2
Morowali;Morowali;SULAWESI TENGAH;25.768;1.679;3.136;1.034;0.394;0.733;1.954;72.29;1;0;0;0;0;1;1;1;0.0764291222251793;0.0982660142895162;3;4
Poso;Poso;SULAWESI TENGAH;17.882;2.06;1.942;0.636;0.357;0.586;1.78;71.45;1;0;0;0;0;1;0;1;0.0705092877751483;0.0619995461471132;3;3
Donggala;Donggala;SULAWESI TENGAH;18.523;1.769;1.608;0.591;0.415;0.493;1.166;65.72;0;0;0;0;0;1;0;0;0.0465975524718184;0.0515547389049906;2;2
Toli-Toli;Toli-Toli;SULAWESI TENGAH;18.986;1.581;1.589;0.553;0.286;0.561;1.385;66.3;0;0;0;0;0;1;0;0;0.0586120841632896;0.0696018499439064;3;3
Buol;Buol;SULAWESI TENGAH;23.03;1.821;1.417;0.629;0.288;0.863;1.263;68.25;0;0;0;0;0;1;0;0;0.0583567590648685;0.118136853716685;3;4
Parigi Moutong;Parigi Moutong;SULAWESI TENGAH;25.117;1.606;1.546;0.584;0.412;0.731;1.507;65.82;0;0;0;0;0;1;0;0;0.0457020050918722;0.0474854979735062;2;2
Tojo Una-Una;Tojo Una-Una;SULAWESI TENGAH;24.376;2.041;1.259;0.656;0.498;0.485;1.34;64.74;0;0;0;0;0;1;0;0;0.079184280093072;0.0944120262648166;3;4
Sigi;Sigi;SULAWESI TENGAH;17.196;1.741;1.411;0.652;0.512;0.552;1.854;68.49;0;0;0;0;0;1;0;0;0.0563666531704258;0.0678781527615691;3;3
Banggai Laut;Banggai Laut;SULAWESI TENGAH;20.24;1.988;1.606;0.869;0.364;0.997;1.199;65.65;0;0;0;0;0;1;0;0;0.0471739835480732;0.128254267771324;2;4
Morowali Utara;Morowali Utara;SULAWESI TENGAH;23.811;2.504;3.857;1.038;0.392;0.712;2.161;68.48;0;0;0;0;0;1;1;1;0.0910918714866029;0.116531943703582;4;4
Kota Palu;Kota Palu;SULAWESI TENGAH;15.086;1.178;1.883;0.956;0.326;0.473;1.814;81.7;1;0;0;0;0;0;0;0;0.105298399464328;0.0518392120439769;4;2
Kepulauan Selayar;Kepulauan Selayar;SULAWESI SELATAN;14.931;2.225;2.687;0.92;0.496;0.598;1.234;67.76;0;1;1;0;1;0;0;1;0.0683236960961998;0.089180403325566;3;4
Bulukumba;Bulukumba;SULAWESI SELATAN;15.782;1.548;2.277;0.928;0.364;1.191;1.947;69.62;1;1;1;0;1;0;1;0;0.0486195916410824;0.0454239377304009;2;2
Bantaeng;Bantaeng;SULAWESI SELATAN;20.388;1.251;2.223;1.015;0.302;0.58;1.396;68.99;0;1;1;0;1;1;0;0;0.0562508089164999;0.0896030584510618;3;4
Jeneponto;Jeneponto;SULAWESI SELATAN;17.817;1.901;2.632;1.013;0.287;0.523;1.464;64.56;0;1;1;0;1;1;0;1;0.0358002443124781;0.0406381151655157;2;2
Takalar;Takalar;SULAWESI SELATAN;15.373;1.689;2.222;1.176;0.265;0.566;1.061;67.72;0;1;1;0;1;0;0;1;0.069477005849074;0.0667389957663519;3;3
Gowa;Gowa;SULAWESI SELATAN;16.694;1.455;2.059;1.154;0.273;0.53;1.344;70.29;1;1;1;0;1;0;0;0;0.0409311709351716;0.0340652971008848;2;2
Sinjai;Sinjai;SULAWESI SELATAN;16.482;1.624;1.625;1.068;0.366;1.022;1.389;67.75;0;1;1;0;1;0;0;0;0.0438746723832029;0.0615784875553725;2;3
Maros;Maros;SULAWESI SELATAN;17.082;1.402;2.237;1.231;0.26;0.586;1.611;70.41;1;1;1;0;1;1;0;0;0.045136186770428;0.0534370946822309;2;2
Pangkajene Kepulauan;Pangkajene Kepulauan;SULAWESI SELATAN;17.86;1.647;3.315;1.263;0.288;0.541;1.272;69.21;0;1;1;0;1;1;0;1;0.0530625708098496;0.0487602002036455;3;2
Barru;Barru;SULAWESI SELATAN;18.216;1.938;3.146;1.17;0.301;0.481;1.271;71.13;1;1;1;0;1;1;0;1;0.0953630410336692;0.0942605781315459;4;4
Bone;Bone;SULAWESI SELATAN;21.263;1.98;2.039;0.952;0.301;0.564;1.199;66.4;0;1;1;0;1;1;0;1;0.0260258846012277;0.0323464565758115;1;1
Soppeng;Soppeng;SULAWESI SELATAN;20.02;1.579;2.039;1.024;0.297;0.494;1.188;68.99;0;1;1;0;1;1;0;0;0.0681628626708835;0.0757835553918518;3;3
Wajo;Wajo;SULAWESI SELATAN;21.03;2.017;3.058;1.23;0.328;0.563;1.319;69.62;1;1;1;0;1;1;0;1;0.0392654424040067;0.0446076794657763;2;2
Sidenreng Rappang;Sidenreng Rappang;SULAWESI SELATAN;20.907;1.615;2.766;1.193;0.315;0.601;1.941;71.54;1;1;1;0;1;1;1;1;0.0471262417764708;0.0527813907896473;2;2
Pinrang;Pinrang;SULAWESI SELATAN;19.349;1.086;1.698;1.089;0.308;0.403;0.879;71.45;1;1;1;0;1;1;0;0;0.041813881218887;0.043793236542858;2;2
Enrekang;Enrekang;SULAWESI SELATAN;17.045;1.639;1.929;1.077;0.263;0.474;1.422;72.91;1;1;1;0;1;1;0;0;0.0446028360337922;0.0618257133141674;2;3
Luwu;Luwu;SULAWESI SELATAN;20.338;1.577;1.931;1.188;0.244;0.613;1.297;70.85;1;1;1;0;1;1;0;0;0.0476265214779376;0.0535798366626798;2;2
Tana Toraja;Tana Toraja;SULAWESI SELATAN;12.771;1.685;1.058;0.824;0.192;0.365;1.456;69.49;0;1;1;0;1;0;0;0;0.0408288607700951;0.0457143654776279;2;2
Luwu Utara;Luwu Utara;SULAWESI SELATAN;21.99;1.865;1.897;0.863;0.32;0.91;1.406;70.02;1;1;1;0;1;1;0;0;0.0516881218249271;0.0559699780707791;2;2
Luwu Timur;Luwu Timur;SULAWESI SELATAN;22.202;1.944;1.82;1.003;0.281;0.821;1.623;73.34;1;1;1;0;1;1;0;0;0.0686488179739934;0.0783129719606236;3;3
Toraja Utara;Toraja Utara;SULAWESI SELATAN;10.895;1.966;1.739;0.588;0.18;0.293;1.451;69.75;1;1;1;0;1;0;0;0;0.0475026593369116;0.0572467945855088;2;3
Kota Makassar;Kota Makassar;SULAWESI SELATAN;10.597;1.231;2.565;1.25;0.263;0.647;1.715;82.66;1;1;1;0;1;0;0;0;0.0725087484854481;0.0221592156586369;3;1
Kota Parepare;Kota Pare-pare;SULAWESI SELATAN;14.707;1.162;3.252;1.111;0.293;0.462;1.117;78.21;1;1;1;0;1;0;0;1;0.126290765916351;0.116160490575467;4;4
Kota Palopo;Kota Palopo;SULAWESI SELATAN;17.987;1.244;1.529;0.988;0.216;0.636;1.322;78.38;1;1;1;0;1;1;0;0;0.0992074427628171;0.0892866984865354;4;4
Buton;Buton;SULAWESI TENGGARA;12.064;1.313;2.309;0.723;0.288;0.377;1.389;66.32;0;0;1;0;1;0;0;0;0.0659552518983274;0.102315198457662;3;4
Muna;Muna;SULAWESI TENGGARA;11.27;1.154;2.45;1.045;0.199;0.477;1.306;69.17;0;0;1;0;1;0;0;0;0.0365077004205146;0.0500290709466312;2;2
Konawe;Konawe;SULAWESI TENGGARA;20.075;1.169;3.171;0.99;0.237;0.569;1.436;71.48;1;0;1;0;1;1;0;1;0.0574280015831503;0.068292758639422;3;3
Kolaka;Kolaka;SULAWESI TENGGARA;20.536;1.473;4.112;1.145;0.31;0.802;1.659;73.56;1;0;1;0;1;1;0;1;0.0440159654025965;0.0662376178388588;2;3
Konawe Selatan;Konawe Selatan;SULAWESI TENGGARA;19.984;1.409;3.463;1.013;0.305;0.702;1.739;68.58;0;0;1;0;1;1;0;1;0.032090881376057;0.0490990485053672;1;2
Bombana;Bombana;SULAWESI TENGGARA;25.589;1.633;2.278;1.148;0.305;0.54;1.063;66.25;0;0;1;0;1;1;0;1;0.0521229538218804;0.0838193446595103;2;3
Wakatobi;Wakatobi;SULAWESI TENGGARA;15.618;1.763;3.009;0.992;0.343;0.425;1.603;69.87;1;0;1;0;1;0;0;1;0.0636998254799302;0.0828970331588133;3;3
Kolaka Utara;Kolaka Utara;SULAWESI TENGGARA;29.389;1.843;2.853;1.797;0.298;1.07;1.304;69.5;0;0;1;0;1;1;0;1;0.0274186100207804;0.0772050334795659;1;3
Buton Utara;Buton Utara;SULAWESI TENGGARA;17.7;1.396;2.908;0.998;0.373;0.505;1.144;68.08;0;0;1;0;1;1;0;1;0.102578027183177;0.158392541974024;4;4
Konawe Utara;Konawe Utara;SULAWESI TENGGARA;24.998;1.395;4.031;1.433;0.302;0.82;1.189;70.23;1;0;1;0;1;1;0;1;0.0450201864707078;0.164105841006129;2;4
Kolaka Timur;Kolaka Timur;SULAWESI TENGGARA;22.844;1.581;2.754;1.081;0.341;0.813;1.91;67.76;0;0;1;0;1;1;0;1;0.0559606167022165;0.104622022530231;3;4
Konawe Kepulauan;Konawe Kepulauan;SULAWESI TENGGARA;19.782;1.384;2.312;1.002;0.304;0.708;1.199;65.73;0;0;1;0;1;1;0;0;0.0831478153582062;0.123380629241209;4;4
Muna Barat;Muna Barat;SULAWESI TENGGARA;18.272;1.306;2.234;1.134;0.24;0.401;1.302;65.48;0;0;1;0;1;1;0;0;0.0395096020305541;0.0790192040611082;2;3
Buton Tengah;Buton Tengah;SULAWESI TENGGARA;7.447;1.153;2.546;0.843;0.198;0.392;1.403;64.55;0;0;1;0;1;0;0;0;0.0525130012027171;0.0686056951196788;3;3
Buton Selatan;Buton Selatan;SULAWESI TENGGARA;9.262;1.385;2.588;0.628;0.213;0.362;1.281;64.99;0;0;1;0;1;0;0;1;0.06512205297272;0.11396359270226;3;4
Kota Kendari;Kota Kendari;SULAWESI TENGGARA;13.41;1.089;2.384;1.205;0.227;0.687;1.601;84.15;1;0;1;0;1;0;0;0;0.0671956243617883;0.0648481789692367;3;3
Kota Baubau;Kota Bau-bau;SULAWESI TENGGARA;12.083;0.996;2.237;0.879;0.217;0.526;1.407;76.26;1;0;1;0;1;0;0;0;0.0962567522211879;0.0981565565413429;4;4
Boalemo;Boalemo;GORONTALO;12.321;1.579;1.619;0.56;0.53;0.533;1.629;66.42;0;1;0;0;0;0;0;0;0.0673771897586672;0.0891556753372262;3;4
Gorontalo;Gorontalo;GORONTALO;13.689;1.381;1.908;0.51;0.394;0.498;1.513;69;0;1;0;0;0;0;0;0;0.0580403468350423;0.046482528850575;3;2
Pohuwato;Pohuwato;GORONTALO;19.212;1.538;2.566;0.573;0.372;0.378;1.485;65.8;0;1;0;0;0;1;0;1;0.0614489666332111;0.103780476980534;3;4
Bone Bolango;Bone Bolango;GORONTALO;11.878;1.314;2.121;0.579;0.346;0.433;1.44;70.25;1;1;0;0;0;0;0;0;0.113173794790355;0.0961368794455701;4;4
Gorontalo Utara;Gorontalo Utara;GORONTALO;12.809;1.884;1.918;0.539;0.452;0.464;1.644;65.21;0;1;0;0;0;0;0;0;0.0589157902279404;0.0859852073596968;3;3
Kota Gorontalo;Kota Gorontalo;GORONTALO;13.56;1.337;2.41;0.488;0.315;0.474;1.743;77.41;1;1;0;0;0;0;0;0;0.130380701657983;0.0829241244261501;4;3
Majene;Majene;SULAWESI BARAT;13.844;1.408;2.071;0.544;0.386;0.389;1.137;67.29;0;0;0;1;1;0;0;0;0.0455962137827542;0.106198776405402;2;4
Polewali Mandar;Polewali Mandar;SULAWESI BARAT;18.172;1.416;1.698;0.764;0.357;0.578;1.401;64.23;0;0;0;1;1;1;0;0;0.0380687839797375;0.0449555991720518;2;2
Mamasa;Mamasa;SULAWESI BARAT;17.434;1.515;1.758;0.636;0.258;0.316;1.299;66.63;0;0;0;1;1;1;0;0;0.0486177632940701;0.0505432192661125;2;2
Mamuju;Mamuju;SULAWESI BARAT;22.457;1.793;2.078;0.986;0.345;0.409;2.066;68.32;0;0;0;1;1;1;1;0;0.0585445431881122;0.0769630511574059;3;3
Mamuju Utara;Mamuju Utara;SULAWESI BARAT;24.747;1.952;2.772;0.911;0.357;0.491;1.824;68.03;0;0;0;1;1;1;0;1;0.04030557247973;0.0674884004311759;2;3
Mamuju Tengah;Mamuju Tengah;SULAWESI BARAT;24.751;2.13;2.645;0.963;0.323;0.525;1.716;66.18;0;0;0;1;1;1;0;1;0.0525419810428532;0.0763610124489467;3;3
Maluku Tenggara Barat;Maluku Tenggara Barat;MALUKU;6.184;1.148;2.268;0.451;0.3;0.287;1.253;62.97;0;0;0;0;0;0;0;0;0.0520849774298431;0.145206603743805;2;4
Maluku Tenggara;Maluku Tenggara;MALUKU;5.698;1.382;2.936;0.478;0.359;0.417;1.277;66.33;0;0;0;0;0;0;0;1;0.0573245906788645;0.109937571164946;3;4
Maluku Tengah;Maluku Tengah;MALUKU;8.47;1.747;2.257;0.5;0.479;0.747;2.01;71.32;1;0;0;0;0;0;1;1;0.0277116950398414;0.0347570412364113;1;2
Buru;Buru;MALUKU;11.521;1.734;2.76;0.59;0.421;0.373;1.837;69.33;0;0;0;0;0;0;0;1;0.0472610731217416;0.0635070670073402;2;3
Kepulauan Aru;Kepulauan Aru;MALUKU;9.601;1.424;2.885;0.601;0.354;0.24;1.196;63.83;0;0;0;0;0;0;0;1;0;0.0646369400112164;1;3
Seram Bagian Barat;Seram Bagian Barat;MALUKU;6.607;1.677;2.3;0.455;0.547;0.479;1.441;65.83;0;0;0;0;0;0;0;1;0.0156689948577208;0.0360861699753569;1;2
Seram Bagian Timur;Seram Bagian Timur;MALUKU;7.919;2.008;3.795;0.573;0.437;0.686;1.187;64.3;0;0;0;0;0;0;0;1;0.0457615234158763;0.0774993541720486;2;3
Maluku Barat Daya;Maluku Barat Daya;MALUKU;5.662;1.362;2.492;0.407;0.298;0.409;1.39;62.37;0;0;0;0;0;0;0;0;0;0.0475549939537222;1;2
Buru Selatan;Buru Selatan;MALUKU;5.745;1.462;2.295;0.446;0.5;0.465;1.199;64.8;0;0;0;0;0;0;0;0;0;0.0864564639306252;1;3
Kota Ambon;Kota Ambon;MALUKU;9.428;1.426;3.233;0.792;0.321;0.611;1.965;81.23;1;0;0;0;0;0;1;1;0.0555479201026205;0.0632788161993769;3;3
Kota Tual;Kota Tual;MALUKU;7.378;1.093;2.91;0.407;0.273;0.295;1.216;68.16;0;0;0;0;0;0;0;1;0.0825269060323777;0.157140273130144;4;4
Halmahera Barat;Halmahera Barat;MALUKU UTARA;8.887;1.854;2.129;0.524;0.497;0.877;1.459;65.56;0;0;0;0;0;0;0;1;0.0525828550268469;0.0785039807443066;3;3
Halmahera Tengah;Halmahera Tengah;MALUKU UTARA;16.571;1.843;3.123;0.407;0.412;0.366;1.226;65.82;0;0;0;0;0;0;0;1;0.0584848761765512;0.120625057114137;3;4
Kepulauan Sula;Kepulauan Sula;MALUKU UTARA;11.655;1.453;2.712;0.374;0.429;0.55;1.105;63.8;0;0;0;0;0;0;0;1;0.028416659266495;0.0603854009413018;1;3
Halmahera Selatan;Halmahera Selatan;MALUKU UTARA;12.481;1.938;3.243;0.575;0.555;1.079;1.488;64.19;0;0;0;0;0;0;0;1;0.0270593993609207;0.0449663548203534;1;2
Halmahera Utara;Halmahera Utara;MALUKU UTARA;9.54;1.814;2.595;0.581;0.553;0.686;1.553;67.82;0;0;0;0;0;0;0;1;0.0647057643305712;0.0792520214281415;3;3
Halmahera Timur;Halmahera Timur;MALUKU UTARA;12.5;1.88;2.611;0.635;0.516;0.436;1.485;67;0;0;0;0;0;0;0;1;0.0325056622766546;0.0922741380756648;1;4
Pulau Morotai;Pulau Morotai;MALUKU UTARA;12.667;1.992;2.736;0.662;0.59;0.563;2.025;62.9;0;0;0;0;0;0;1;1;0.0445915816498885;0.133774744949666;2;4
Pulau Taliabu;Pulau Taliabu;MALUKU UTARA;11.595;1.605;2.497;0.667;0.477;1.21;1.142;60.73;0;0;0;0;0;0;0;1;0;0.0304986529761602;1;1
Kota Ternate;Kota Ternate;MALUKU UTARA;16.78;1.456;3.725;0.658;0.317;0.538;1.65;80.14;1;0;0;0;0;1;0;1;0.0830856741124213;0.0693902333246596;4;3
Kota Tidore Kepulauan;Kota Tidore Kepulauan;MALUKU UTARA;15.848;1.733;4.019;0.64;0.356;0.793;1.711;70.99;1;0;0;0;0;0;0;1;0.105775703058754;0.113643317335851;4;4
Fakfak;Fak-fak;PAPUA BARAT;17.501;2.083;3.692;0.728;0.301;0.815;2.672;68.52;0;0;0;0;0;1;1;1;0.0864677907479464;0.134252622477075;4;4
Kaimana;Kaimana;PAPUA BARAT;12.449;1.465;2.744;0.563;0.301;1.011;1.729;65.31;0;0;0;0;0;0;0;1;0.0560468302403786;0.188379623863495;3;4
Teluk Wondama;Teluk Wondama;PAPUA BARAT;16.887;2.04;4.181;0.686;0.328;0.598;1.703;60.33;0;0;0;0;0;1;0;1;0;0.0995294969236337;1;4
Teluk Bintuni;Teluk Bintuni;PAPUA BARAT;18.253;1.458;3.474;0.886;0.264;0.458;1.959;64.65;0;0;0;0;0;1;1;1;0.0387752038825236;0.116325611647571;2;4
Manokwari;Manokwari;PAPUA BARAT;13.997;1.483;3.161;0.796;0.31;0.59;2.518;72.02;1;0;0;0;0;0;1;1;0.0640191427731833;0.103375173166534;3;4
Sorong Selatan;Sorong Selatan;PAPUA BARAT;9.099;1.311;2.571;0.449;0.21;0.442;1.341;62.46;0;0;0;0;0;0;0;0;0.051013691416535;0.20405476566614;2;4
Sorong;Sorong;PAPUA BARAT;16.734;1.701;3.234;0.74;0.429;0.732;2.299;65.77;0;0;0;0;0;0;1;1;0.0894898266337995;0.0984388092971794;4;4
Raja Ampat;Raja Ampat;PAPUA BARAT;13.43;2.452;4.426;0.567;0.345;0.421;1.536;63.92;0;0;0;0;0;0;0;1;0.0471626350220599;0.174958162178609;2;4
Tambrauw;Tambrauw;PAPUA BARAT;13.713;1.959;3.11;0.541;0.258;0.625;1.883;53.71;0;0;0;0;0;0;0;1;0;0.113632776743158;1;4
Maybrat;Maybrat;PAPUA BARAT;11.07;1.363;2.676;0.603;0.282;0.361;1.762;59.7;0;0;0;0;0;0;0;1;0;0.131710418748297;1;4
Manokwari Selatan;Manokwari Selatan;PAPUA BARAT;9.283;1.493;2.992;0.717;0.311;0.707;2.372;59.85;0;0;0;0;0;0;1;1;0;0.0872885979268958;1;3
Pegunungan Arfak;Pegunungan Arfak;PAPUA BARAT;4.558;1.358;3.104;0.756;0.275;0.499;2.809;56.13;0;0;0;0;0;0;1;1;0;0.0490057001367001;1;2
Kota Sorong;Kota Sorong;PAPUA BARAT;12.493;1.406;3.047;0.808;0.347;0.421;1.907;78.49;1;0;0;0;0;0;0;1;0.0630478843338474;0.0566362350795579;3;2
Merauke;Merauke;PAPUA;16.862;1.14;2.847;0.889;0.384;0.691;2.083;70.49;1;0;0;1;0;1;1;1;0.0856512141280353;0.0909492273730684;4;4
Jayawijaya;Jayawijaya;PAPUA;6.884;1.187;2.61;0.995;0.174;0.359;2.691;58.67;0;0;0;1;0;0;1;0;0.0235002092987391;0.0470004185974781;1;2
Jayapura;Jayapura;PAPUA;11.861;1.993;2.372;0.952;0.345;0.421;2.157;72.03;1;0;0;1;0;0;1;1;0.0617040906873836;0.106953757191465;3;4
Nabire;Nabire;PAPUA;16.404;1.843;4.177;1.159;0.386;0.461;1.952;69.15;0;0;0;1;0;0;1;1;0.062395764085698;0.0962177670480389;3;4
Kepulauan Yapen;Kepulauan Yapen;PAPUA;9.893;2.292;3.852;0.596;0.457;0.266;1.761;67.72;0;0;0;1;0;0;0;1;0.0283690458248743;0.105497389161251;1;4
Biak Numfor;Biak Numfor;PAPUA;6.483;1.555;3.455;0.658;0.294;0.24;1.474;72.33;1;0;0;1;0;0;0;1;0.0868217054263566;0.144702842377261;4;4
Paniai;Paniai;PAPUA;5.367;1.033;3.002;1.503;0.265;0.454;2.208;56.7;0;0;0;1;0;0;1;1;0;0.0248227243767428;1;1
Puncak Jaya;Puncak Jaya;PAPUA;10.664;0.954;2.867;1.663;0.344;0.148;2.115;48.99;0;0;0;1;0;0;1;0;0;0.00870194465563199;1;1
Mimika;Mimika;PAPUA;15.753;1.426;2.635;0.981;0.322;0.405;1.838;74.48;1;0;0;1;0;0;0;1;0.0322279158206839;0.0525315027877147;1;2
Boven Digoel;Boven Digoel;PAPUA;12.967;0.9;1.94;0.759;0.305;0.51;1.381;61.62;0;0;0;1;0;0;0;0;0;0.126676484094184;1;4
Mappi;Mappi;PAPUA;6.616;0.799;1.676;0.617;0.193;0.281;0.723;58.7;0;0;0;1;0;0;0;0;0;0.0608096097894116;1;3
Asmat;Asmat;PAPUA;10.063;1.838;2.122;1.029;0.262;0.318;1.074;51.29;0;0;0;1;0;0;0;1;0;0.065446249929879;1;3
Yahukimo;Yahukimo;PAPUA;0.898;0.763;1.168;0.753;0.091;1.113;2.653;49.48;0;0;0;1;0;0;1;0;0;0.0107311590498971;1;1
Pegunungan Bintang;Pegunungan Bintang;PAPUA;6.78;0.395;1.698;0.574;0.1;0.297;1.848;46.28;0;0;0;1;0;0;0;0;0;0.0215720641768909;1;1
Tolikara;Tolikara;PAPUA;5.528;0.888;1.348;0.662;0.248;0.291;2.161;49.6;0;0;0;1;0;0;1;0;0;0.0043971858010873;1;1
Sarmi;Sarmi;PAPUA;11.327;0.967;2.598;0.695;0.242;0.475;1.447;63.94;0;0;0;1;0;0;0;0;0;0.185497058895316;1;4
Keerom;Keerom;PAPUA;17.128;1.819;3.027;1.027;0.286;0.494;2.021;66.49;0;0;0;1;0;1;1;1;0.110170291793887;0.160533853756807;4;4
Waropen;Waropen;PAPUA;8.786;2.01;3.558;0.452;0.432;0.224;1.255;65.1;0;0;0;1;0;0;0;1;0;0.0894879610727369;1;4
Supiori;Supiori;PAPUA;6.702;1.541;3.35;0.583;0.264;0.275;2.068;62.72;0;0;0;1;0;0;1;1;0;0.310142497904443;1;4
Mamberamo Raya;Mamberamo Raya;PAPUA;6.538;0.734;2.209;0.901;0.225;0.607;1.1;52.18;0;0;0;1;0;0;0;0;0;0.0661235717308506;1;3
Nduga;Nduga;PAPUA;6.217;0.75;1.231;0.65;0.151;0.277;3.194;32.84;0;0;0;1;0;0;1;0;0;0.00273810067083466;1;1
Lanny Jaya;Lanny Jaya;PAPUA;13.564;1.956;2.004;1.235;0.195;0.348;3.853;48.68;0;0;0;1;0;0;1;1;0;0.00447076122161067;1;1
Mamberamo Tengah;Mamberamo Tengah;PAPUA;4.756;0.78;1.515;0.804;0.081;0.689;3.657;48.32;0;0;0;1;0;0;1;0;0;0.0146311895157076;1;1
Yalimo;Yalimo;PAPUA;7.026;1.25;1.814;0.795;0.183;0.279;3.918;49.01;0;0;0;1;0;0;1;0;0;0.0246146855000568;1;1
Puncak;Puncak;PAPUA;5.72;3.919;4.533;1.43;0.36;0.05;2.32;43.17;0;0;0;1;0;0;1;1;0;0.00284757500512563;1;1
Dogiyai;Dogiyai;PAPUA;1.087;0.929;1.921;0.785;0.266;0.239;1.262;55;0;0;0;1;0;0;0;0;0;0.0253087227822141;1;1
Intan Jaya;Intan Jaya;PAPUA;6.388;0.752;2.495;0.939;0.257;0.322;1.647;48.34;0;0;0;1;0;0;0;0;0;0.00437857127219388;1;1
Deiyai;Deiyai;PAPUA;3.686;0.969;2.929;0.764;0.276;0.42;2.161;49.96;0;0;0;1;0;0;1;1;0;0.00551675438306136;1;1
Kota Jayapura;Kota Jayapura;PAPUA;10.313;1.119;3.406;0.811;0.279;0.442;2.075;80.11;1;0;0;1;0;0;1;1;0.0533117243144112;0.0599460722290935;3;3
Jakarta;DKI Jakarta;DKI JAKARTA;78.437;6.142;19.716;6.806;1.834;3.538;11.671;81.11;1;1;1;1;1;1;1;1;0.0884682354355694;0.0152562754600448;4;1
